,DateTime,Close,High,Low,Volume,Bid Price,Ask Price
101,2023-02-02 10:41:00,146.94,146.94,146.94,0,146.97,146.97
102,2023-02-02 10:42:00,146.94,146.94,146.94,0,146.97,146.97
103,2023-02-02 10:43:00,146.94,146.94,146.94,0,147.0,147.0
104,2023-02-02 10:44:00,146.94,146.94,146.94,0,147.0,147.0
105,2023-02-02 10:45:00,147.0,147.0,147.0,100,147.1,147.1
106,2023-02-02 10:46:00,147.0,147.0,147.0,0,147.0,147.0
107,2023-02-02 10:47:00,147.0,147.0,147.0,0,147.0,147.0
108,2023-02-02 10:48:00,147.0,147.0,147.0,0,147.0,147.0
109,2023-02-02 10:49:00,147.0,147.0,147.0,0,146.94,146.94
110,2023-02-02 10:50:00,147.0,147.0,147.0,0,146.94,146.94
111,2023-02-02 10:51:00,147.0,147.0,147.0,0,146.94,146.94
112,2023-02-02 10:52:00,147.0,147.0,147.0,0,146.85,146.85
113,2023-02-02 10:53:00,147.0,147.0,147.0,0,146.94,146.94
114,2023-02-02 10:54:00,147.0,147.0,147.0,0,146.94,146.94
115,2023-02-02 10:55:00,147.0,147.0,147.0,0,146.94,146.94
116,2023-02-02 10:56:00,147.0,147.0,147.0,0,146.94,146.94
117,2023-02-02 10:57:00,146.9,146.9,146.9,180,146.94,146.94
118,2023-02-02 10:58:00,146.9,146.9,146.9,0,147.0,147.0
119,2023-02-02 10:59:00,146.9,146.9,146.9,0,147.0,147.0
120,2023-02-02 11:00:00,147.0,147.0,147.0,100,147.0,147.0
121,2023-02-02 11:01:00,146.96,146.96,146.96,937,147.0,147.0
122,2023-02-02 11:02:00,146.96,146.96,146.96,0,147.0,147.0
123,2023-02-02 11:03:00,146.92,146.92,146.92,100,146.91,146.91
124,2023-02-02 11:04:00,146.92,146.92,146.92,0,147.0,147.0
125,2023-02-02 11:05:00,146.92,146.92,146.92,0,146.93,146.93
126,2023-02-02 11:06:00,146.92,146.92,146.92,0,147.0,147.0
127,2023-02-02 11:07:00,146.92,146.92,146.92,0,147.0,147.0
128,2023-02-02 11:08:00,146.86,146.86,146.86,175,147.0,147.0
129,2023-02-02 11:09:00,146.86,146.86,146.86,0,146.89,146.89
130,2023-02-02 11:10:00,146.75,146.75,146.75,907,146.89,146.89
131,2023-02-02 11:11:00,146.75,146.75,146.75,0,146.89,146.89
132,2023-02-02 11:12:00,146.75,146.75,146.75,0,146.87,146.87
133,2023-02-02 11:13:00,146.75,146.75,146.75,0,146.89,146.89
134,2023-02-02 11:14:00,146.75,146.75,146.75,0,146.89,146.89
135,2023-02-02 11:15:00,146.75,146.75,146.75,0,146.86,146.86
136,2023-02-02 11:16:00,146.75,146.75,146.75,0,146.97,146.97
137,2023-02-02 11:17:00,146.75,146.75,146.75,0,147.0,147.0
138,2023-02-02 11:18:00,146.75,146.75,146.75,0,147.0,147.0
139,2023-02-02 11:19:00,146.75,146.75,146.75,0,147.0,147.0
140,2023-02-02 11:20:00,146.75,146.75,146.75,0,147.0,147.0
141,2023-02-02 11:21:00,146.75,146.75,146.75,0,147.01,147.01
142,2023-02-02 11:22:00,146.75,146.75,146.75,0,147.04,147.04
143,2023-02-02 11:23:00,147.0,147.0,147.0,100,147.05,147.05
144,2023-02-02 11:24:00,146.98,146.98,146.98,118,147.05,147.05
145,2023-02-02 11:25:00,146.98,146.98,146.98,0,147.05,147.05
146,2023-02-02 11:26:00,146.98,146.98,146.98,0,147.1,147.1
147,2023-02-02 11:27:00,146.98,146.98,146.98,0,147.1,147.1
148,2023-02-02 11:28:00,146.98,146.98,146.98,0,147.05,147.05
149,2023-02-02 11:29:00,146.98,146.98,146.98,0,147.05,147.05
150,2023-02-02 11:30:00,146.98,146.98,146.98,0,147.05,147.05
151,2023-02-02 11:31:00,146.98,146.98,146.98,0,147.05,147.05
152,2023-02-02 11:32:00,146.98,146.98,146.98,0,147.1,147.1
153,2023-02-02 11:33:00,146.98,146.98,146.98,0,147.1,147.1
154,2023-02-02 11:34:00,146.98,146.98,146.98,0,147.1,147.1
155,2023-02-02 11:35:00,146.98,146.98,146.98,0,147.06,147.06
156,2023-02-02 11:36:00,146.98,146.98,146.98,0,147.06,147.06
157,2023-02-02 11:37:00,146.98,146.98,146.98,0,147.05,147.05
158,2023-02-02 11:38:00,146.98,146.98,146.98,0,147.05,147.05
159,2023-02-02 11:39:00,146.98,146.98,146.98,0,147.05,147.05
160,2023-02-02 11:40:00,146.98,146.98,146.98,0,147.04,147.04
161,2023-02-02 11:41:00,146.98,146.98,146.98,0,147.04,147.04
162,2023-02-02 11:42:00,146.99,146.99,146.99,150,147.04,147.04
163,2023-02-02 11:43:00,146.99,146.99,146.99,0,147.04,147.04
164,2023-02-02 11:44:00,146.99,146.99,146.99,0,146.96,146.96
165,2023-02-02 11:45:00,146.99,146.99,146.99,0,146.96,146.96
166,2023-02-02 11:46:00,146.99,146.99,146.99,0,146.9,146.9
167,2023-02-02 11:47:00,146.99,146.99,146.99,0,146.94,146.94
168,2023-02-02 11:48:00,146.99,146.99,146.99,0,146.92,146.92
169,2023-02-02 11:49:00,146.86,146.86,146.86,228,146.9,146.9
170,2023-02-02 11:50:00,146.88,146.88,146.88,150,146.96,146.96
171,2023-02-02 11:51:00,146.88,146.88,146.88,0,146.9,146.9
172,2023-02-02 11:52:00,146.88,146.88,146.88,0,146.96,146.96
173,2023-02-02 11:53:00,146.88,146.88,146.88,0,146.87,146.87
174,2023-02-02 11:54:00,146.88,146.88,146.88,0,146.9,146.9
175,2023-02-02 11:55:00,146.88,146.88,146.88,0,146.89,146.89
176,2023-02-02 11:56:00,146.88,146.88,146.88,0,146.89,146.89
177,2023-02-02 11:57:00,146.88,146.88,146.88,0,146.96,146.96
178,2023-02-02 11:58:00,146.88,146.88,146.88,0,146.99,146.99
179,2023-02-02 11:59:00,146.88,146.88,146.88,0,146.97,146.97
180,2023-02-02 12:00:00,146.96,146.96,146.82,7308,146.99,146.99
181,2023-02-02 12:01:00,146.9,146.9,146.84,2763,146.95,146.95
182,2023-02-02 12:02:00,146.91,146.92,146.91,989,146.9,146.9
183,2023-02-02 12:03:00,146.95,146.95,146.95,300,146.98,146.98
184,2023-02-02 12:04:00,146.91,146.92,146.89,1755,146.9,146.9
185,2023-02-02 12:05:00,146.8,146.87,146.8,2002,146.8,146.8
186,2023-02-02 12:06:00,146.8,146.8,146.77,5921,146.9,146.9
187,2023-02-02 12:07:00,146.77,146.77,146.77,1000,146.83,146.83
188,2023-02-02 12:08:00,146.85,146.85,146.85,626,146.9,146.9
189,2023-02-02 12:09:00,146.95,146.95,146.9,1663,146.93,146.93
190,2023-02-02 12:10:00,146.9,146.95,146.9,757,146.92,146.92
191,2023-02-02 12:11:00,146.92,146.92,146.92,354,146.98,146.98
192,2023-02-02 12:12:00,146.95,146.95,146.95,553,146.95,146.95
193,2023-02-02 12:13:00,146.9,146.9,146.9,260,146.9,146.9
194,2023-02-02 12:14:00,146.88,146.88,146.85,698,146.9,146.9
195,2023-02-02 12:15:00,146.9,146.9,146.9,200,146.95,146.95
196,2023-02-02 12:16:00,146.9,146.9,146.9,0,146.9,146.9
197,2023-02-02 12:17:00,146.99,147.0,146.92,797,147.0,147.0
198,2023-02-02 12:18:00,146.89,146.94,146.89,2322,146.89,146.89
199,2023-02-02 12:19:00,147.0,147.0,146.89,1924,147.0,147.0
200,2023-02-02 12:20:00,147.0,147.0,147.0,696,147.0,147.0
201,2023-02-02 12:21:00,147.0,147.0,147.0,0,147.02,147.02
202,2023-02-02 12:22:00,147.2,147.2,147.1,5269,147.28,147.28
203,2023-02-02 12:23:00,147.2,147.2,147.2,383,147.2,147.2
204,2023-02-02 12:24:00,147.14,147.15,147.11,1107,147.21,147.21
205,2023-02-02 12:25:00,147.14,147.14,147.14,0,147.24,147.24
206,2023-02-02 12:26:00,147.18,147.21,147.18,1261,147.2,147.2
207,2023-02-02 12:27:00,147.2,147.2,147.2,2149,147.21,147.21
208,2023-02-02 12:28:00,147.16,147.16,147.16,100,147.2,147.2
209,2023-02-02 12:29:00,147.16,147.16,147.16,0,147.19,147.19
210,2023-02-02 12:30:00,147.16,147.16,147.16,0,147.19,147.19
211,2023-02-02 12:31:00,147.16,147.16,147.15,4055,147.19,147.19
212,2023-02-02 12:32:00,147.23,147.23,147.19,5563,147.24,147.24
213,2023-02-02 12:33:00,147.24,147.24,147.24,506,147.3,147.3
214,2023-02-02 12:34:00,147.28,147.29,147.28,520,147.4,147.4
215,2023-02-02 12:35:00,147.44,147.44,147.4,5438,147.47,147.47
216,2023-02-02 12:36:00,147.5,147.5,147.46,1541,147.6,147.6
